"State","AppliedSetting","OffloadState","Caption","Description","ElementName","InstanceID","CommunicationStatus","DetailedStatus","HealthState","InstallDate","Name","OperatingStatus","OperationalStatus","PrimaryStatus","Status","StatusDescriptions","AvailableRequestedStates","EnabledDefault","EnabledState","OtherEnabledState","RequestedState","TimeOfLastStateChange","TransitioningToState","AggregationBehavior","Directionality","CreationTime","LocalAddress","LocalPort","OwningProcess","RemoteAddress","RemotePort","PSComputerName"
"Listen",,"InHost",,,,"::++49669++::++0",,,,,,,,,,,,"2",,,"5",,"12",,,"11/10/2023 11:13:19 AM","::","49669","644","::","0",
"Listen",,"InHost",,,,"::++49668++::++0",,,,,,,,,,,,"2",,,"5",,"12",,,"11/10/2023 11:13:15 AM","::","49668","636","::","0",
"Listen",,"InHost",,,,"::++49667++::++0",,,,,,,,,,,,"2",,,"5",,"12",,,"11/10/2023 11:13:13 AM","::","49667","2080","::","0",
"Listen",,"InHost",,,,"::++49666++::++0",,,,,,,,,,,,"2",,,"5",,"12",,,"11/10/2023 11:13:12 AM","::","49666","1500","::","0",
"Listen",,"InHost",,,,"::++49665++::++0",,,,,,,,,,,,"2",,,"5",,"12",,,"11/10/2023 11:13:11 AM","::","49665","1136","::","0",
"Listen",,"InHost",,,,"::++49664++::++0",,,,,,,,,,,,"2",,,"5",,"12",,,"11/10/2023 11:13:10 AM","::","49664","500","::","0",
"Listen",,"InHost",,,,"::++445++::++0",,,,,,,,,,,,"2",,,"5",,"12",,,"11/10/2023 11:13:15 AM","::","445","4","::","0",
"Listen",,"InHost",,,,"::++135++::++0",,,,,,,,,,,,"2",,,"5",,"12",,,"11/10/2023 11:13:10 AM","::","135","884","::","0",
"Bound",,"InHost",,,,"0.0.0.0++49711++0.0.0.0++0",,,,,,,,,,,,"2",,,"5",,"12",,,"11/10/2023 11:21:14 AM","0.0.0.0","49711","2552","0.0.0.0","0",
"Bound",,"InHost",,,,"0.0.0.0++49689++0.0.0.0++0",,,,,,,,,,,,"2",,,"5",,"12",,,"11/10/2023 11:20:04 AM","0.0.0.0","49689","3204","0.0.0.0","0",
"Bound",,"InHost",,,,"0.0.0.0++49684++0.0.0.0++0",,,,,,,,,,,,"2",,,"5",,"12",,,"11/10/2023 11:19:57 AM","0.0.0.0","49684","3204","0.0.0.0","0",
"Bound",,"InHost",,,,"0.0.0.0++49679++0.0.0.0++0",,,,,,,,,,,,"2",,,"5",,"12",,,"11/10/2023 11:19:54 AM","0.0.0.0","49679","3204","0.0.0.0","0",
"Bound",,"InHost",,,,"0.0.0.0++49676++0.0.0.0++0",,,,,,,,,,,,"2",,,"5",,"12",,,"11/10/2023 11:19:53 AM","0.0.0.0","49676","4268","0.0.0.0","0",
"Established","Internet","InHost",,,,"184.171.153.203++49711++52.159.127.243++443",,,,,,,,,,,,"2",,,"5",,"12",,,"11/10/2023 11:21:14 AM","184.171.153.203","49711","2552","52.159.127.243","443",
