"State","AppliedSetting","OffloadState","Caption","Description","ElementName","InstanceID","CommunicationStatus","DetailedStatus","HealthState","InstallDate","Name","OperatingStatus","OperationalStatus","PrimaryStatus","Status","StatusDescriptions","AvailableRequestedStates","EnabledDefault","EnabledState","OtherEnabledState","RequestedState","TimeOfLastStateChange","TransitioningToState","AggregationBehavior","Directionality","CreationTime","LocalAddress","LocalPort","OwningProcess","RemoteAddress","RemotePort","PSComputerName"
"Listen",,"InHost",,,,"::++49669++::++0",,,,,,,,,,,,"2",,,"5",,"12",,,"11/9/2023 1:21:37 PM","::","49669","636","::","0",
"Listen",,"InHost",,,,"::++49668++::++0",,,,,,,,,,,,"2",,,"5",,"12",,,"11/9/2023 1:20:31 PM","::","49668","628","::","0",
"Listen",,"InHost",,,,"::++49667++::++0",,,,,,,,,,,,"2",,,"5",,"12",,,"11/9/2023 1:20:29 PM","::","49667","2104","::","0",
"Listen",,"InHost",,,,"::++49666++::++0",,,,,,,,,,,,"2",,,"5",,"12",,,"11/9/2023 1:20:29 PM","::","49666","1564","::","0",
"Listen",,"InHost",,,,"::++49665++::++0",,,,,,,,,,,,"2",,,"5",,"12",,,"11/9/2023 1:20:28 PM","::","49665","1128","::","0",
"Listen",,"InHost",,,,"::++49664++::++0",,,,,,,,,,,,"2",,,"5",,"12",,,"11/9/2023 1:20:27 PM","::","49664","492","::","0",
"Listen",,"InHost",,,,"::++445++::++0",,,,,,,,,,,,"2",,,"5",,"12",,,"11/9/2023 1:21:31 PM","::","445","4","::","0",
"Listen",,"InHost",,,,"::++135++::++0",,,,,,,,,,,,"2",,,"5",,"12",,,"11/9/2023 1:20:27 PM","::","135","884","::","0",
"Bound",,"InHost",,,,"0.0.0.0++49681++0.0.0.0++0",,,,,,,,,,,,"2",,,"5",,"12",,,"11/9/2023 1:21:42 PM","0.0.0.0","49681","2528","0.0.0.0","0",
"Established","Internet","InHost",,,,"184.171.148.64++49681++52.159.127.243++443",,,,,,,,,,,,"2",,,"5",,"12",,,"11/9/2023 1:21:42 PM","184.171.148.64","49681","2528","52.159.127.243","443",
"Listen",,"InHost",,,,"0.0.0.0++49669++0.0.0.0++0",,,,,,,,,,,,"2",,,"5",,"12",,,"11/9/2023 1:21:37 PM","0.0.0.0","49669","636","0.0.0.0","0",
"Listen",,"InHost",,,,"0.0.0.0++49668++0.0.0.0++0",,,,,,,,,,,,"2",,,"5",,"12",,,"11/9/2023 1:20:31 PM","0.0.0.0","49668","628","0.0.0.0","0",
"Listen",,"InHost",,,,"0.0.0.0++49667++0.0.0.0++0",,,,,,,,,,,,"2",,,"5",,"12",,,"11/9/2023 1:20:29 PM","0.0.0.0","49667","2104","0.0.0.0","0",
"Listen",,"InHost",,,,"0.0.0.0++49666++0.0.0.0++0",,,,,,,,,,,,"2",,,"5",,"12",,,"11/9/2023 1:20:29 PM","0.0.0.0","49666","1564","0.0.0.0","0",
"Listen",,"InHost",,,,"0.0.0.0++49665++0.0.0.0++0",,,,,,,,,,,,"2",,,"5",,"12",,,"11/9/2023 1:20:28 PM","0.0.0.0","49665","1128","0.0.0.0","0",
"Listen",,"InHost",,,,"0.0.0.0++49664++0.0.0.0++0",,,,,,,,,,,,"2",,,"5",,"12",,,"11/9/2023 1:20:27 PM","0.0.0.0","49664","492","0.0.0.0","0",
"Listen",,"InHost",,,,"0.0.0.0++5040++0.0.0.0++0",,,,,,,,,,,,"2",,,"5",,"12",,,"11/9/2023 1:21:42 PM","0.0.0.0","5040","4300","0.0.0.0","0",
"Listen",,"InHost",,,,"184.171.148.64++139++0.0.0.0++0",,,,,,,,,,,,"2",,,"5",,"12",,,"11/9/2023 1:21:35 PM","184.171.148.64","139","4","0.0.0.0","0",
"Listen",,"InHost",,,,"0.0.0.0++135++0.0.0.0++0",,,,,,,,,,,,"2",,,"5",,"12",,,"11/9/2023 1:20:27 PM","0.0.0.0","135","884","0.0.0.0","0",
